iter	Passed	Remaining
478	629	685
479	630	683
480	631	681
481	632	679
482	633	678
483	634	676
484	635	675
485	637	674
486	638	672
487	639	670
488	640	668
489	641	667
490	641	665
491	642	663
492	643	662
493	644	660
494	645	658
495	646	657
496	647	655
497	648	653
498	649	652
499	650	650
500	651	649
501	652	647
502	654	646
503	654	644
504	655	643
505	656	641
506	657	639
507	658	637
508	659	636
509	660	634
510	661	633
511	662	631
512	663	630
513	664	628
514	665	626
515	666	625
516	668	624
517	669	623
518	670	621
519	671	619
520	672	618
521	673	616
522	674	615
523	675	613
524	676	611
525	677	610
526	678	608
527	678	606
528	679	605
529	681	603
530	682	602
531	683	601
532	685	600
533	686	598
534	687	597
535	688	596
536	689	594
537	690	593
538	691	591
539	692	589
540	693	588
541	694	586
542	695	585
543	696	583
544	697	582
545	698	580
546	699	579
547	701	578
548	702	577
549	703	575
550	704	574
551	705	572
552	707	571
553	708	570
554	709	568
555	710	567
556	710	565
557	711	563
558	712	562
559	713	560
560	714	559
561	717	559
562	719	558
563	720	556
564	721	555
565	722	553
566	723	552
567	724	551
568	725	549
569	726	548
570	727	546
571	729	545
572	731	544
573	734	544
574	735	543
575	736	541
576	737	540
577	738	539
578	739	537
579	740	536
580	741	534
581	742	533
582	743	531
583	744	530
584	745	528
585	747	528
586	749	527
587	750	525
588	751	524
589	752	522
590	753	521
591	754	520
592	755	518
593	756	517
594	757	515
595	758	514
596	759	512
597	760	511
598	762	510
599	765	510
600	766	508
601	767	507
602	768	506
603	770	504
604	770	503
605	772	502
606	773	500
607	774	499
608	775	497
609	777	496
610	779	496
611	780	495
612	781	493
613	782	492
614	784	490
615	785	489
616	786	488
617	787	486
618	788	485
619	789	483
620	790	482
621	793	482
622	795	481
623	796	479
624	797	478
625	798	476
626	800	476
627	801	474
628	802	473
629	803	471
630	804	470
631	805	468
632	806	467
633	809	467
634	811	466
635	812	464
636	813	463
637	814	462
638	815	460
639	816	459
640	817	457
641	818	456
642	819	454
643	820	453
644	822	452
645	825	452
646	826	450
647	827	449
648	828	447
649	829	446
650	830	445
651	831	443
652	832	442
653	833	440
654	834	439
655	835	438
656	837	437
657	840	436
658	841	435
659	842	434
660	844	433
661	845	431
662	846	430
663	847	428
664	848	427
665	849	425
666	850	424
667	851	423
668	854	422
669	855	421
670	857	420
671	858	418
672	859	417
673	860	416
674	861	414
675	862	413
676	863	411
677	864	410
678	864	408
679	866	407
680	867	406
681	870	405
682	871	404
683	872	403
684	874	401
685	875	400
686	876	399
687	877	397
688	877	396
689	878	394
690	879	393
691	881	392
692	883	391
693	885	390
694	886	389
695	887	387
696	888	386
697	890	385
698	891	383
699	892	382
700	893	381
701	894	379
702	895	378
703	896	377
704	899	376
705	901	375
706	902	374
707	903	372
708	904	371
709	905	370
710	906	368
711	907	367
712	908	365
713	909	364
714	910	362
715	912	361
716	915	361
717	916	360
718	917	358
719	919	357
720	920	356
721	921	354
722	922	353
723	923	351
724	923	350
725	925	349
726	926	347
727	927	346
728	930	345
729	931	344
730	932	343
731	933	341
732	935	340
733	936	339
734	937	338
735	938	336
736	940	335
737	941	334
738	944	333
739	947	332
740	948	331
741	949	330
742	950	328
743	951	327
744	952	326
745	954	324
746	955	323
747	956	322
748	958	321
749	960	320
750	962	319
751	963	317
752	964	316
753	965	314
754	966	313
755	967	312
756	968	310
757	969	309
758	970	308
759	971	306
760	972	305
761	975	304
762	977	303
763	978	302
764	979	300
765	980	299
766	981	298
767	982	296
768	983	295
769	983	293
770	984	292
771	985	291
772	986	289
773	988	288
774	990	287
775	992	286
776	993	285
777	994	283
778	995	282
779	996	281
780	998	279
781	999	278
782	1000	277
783	1001	275
784	1004	275
785	1006	273
786	1008	273
787	1009	271
788	1011	270
789	1012	269
790	1013	267
791	1014	266
792	1015	265
793	1016	263
794	1018	262
795	1022	261
796	1023	260
797	1024	259
798	1025	258
799	1026	256
800	1027	255
801	1029	254
802	1030	252
803	1030	251
804	1031	249
805	1033	248
806	1034	247
807	1037	246
808	1038	245
809	1039	243
810	1040	242
811	1041	241
812	1042	239
813	1043	238
814	1044	237
815	1045	235
816	1046	234
817	1048	233
818	1049	231
819	1051	230
820	1052	229
821	1053	228
822	1054	226
823	1055	225
824	1056	224
825	1057	222
826	1058	221
827	1059	220
828	1060	218
829	1061	217
830	1062	216
831	1063	214
832	1065	213
833	1066	212
834	1067	211
835	1068	209
836	1069	208
837	1070	206
838	1071	205
839	1072	204
840	1073	202
841	1074	201
842	1075	200
843	1076	198
844	1077	197
845	1078	196
846	1079	195
847	1081	193
848	1082	192
849	1083	191
850	1084	189
851	1084	188
852	1085	187
853	1086	185
854	1087	184
855	1088	183
856	1089	181
857	1090	180
858	1091	179
859	1092	177
860	1093	176
861	1094	175
862	1095	173
863	1096	172
864	1097	171
865	1098	169
866	1099	168
867	1100	167
868	1101	165
869	1102	164
870	1102	163
871	1103	162
872	1104	160
873	1105	159
874	1106	158
875	1107	156
876	1108	155
877	1109	154
878	1110	152
879	1111	151
880	1112	150
881	1113	149
882	1114	147
883	1115	146
884	1116	145
885	1117	143
886	1118	142
887	1119	141
888	1120	139
889	1120	138
890	1121	137
891	1122	135
892	1123	134
893	1124	133
894	1125	132
895	1127	130
896	1127	129
897	1128	128
898	1129	126
899	1130	125
900	1131	124
901	1132	123
902	1133	121
903	1134	120
904	1135	119
905	1135	117
906	1136	116
907	1137	115
908	1138	114
909	1139	112
910	1140	111
911	1141	110
912	1143	108
913	1144	107
914	1144	106
915	1145	105
916	1146	103
917	1147	102
918	1148	101
919	1149	99
920	1150	98
921	1151	97
922	1152	96
923	1152	94
924	1153	93
925	1155	92
926	1156	91
927	1158	89
928	1160	88
929	1161	87
930	1162	86
931	1163	84
932	1164	83
933	1165	82
934	1166	81
935	1167	79
936	1168	78
937	1169	77
938	1170	76
939	1171	74
940	1172	73
941	1174	72
942	1176	71
943	1178	69
944	1179	68
945	1180	67
946	1181	66
947	1182	64
948	1184	63
949	1185	62
950	1186	61
951	1187	59
952	1188	58
953	1190	57
954	1191	56
955	1192	54
956	1193	53
957	1194	52
958	1195	51
959	1196	49
960	1197	48
961	1198	47
962	1199	46
963	1200	44
964	1201	43
965	1202	42
966	1204	41
967	1205	39
968	1206	38
969	1207	37
970	1208	36
971	1209	34
972	1210	33
973	1211	32
974	1212	31
975	1213	29
976	1214	28
977	1215	27
978	1216	26
979	1217	24
980	1218	23
981	1220	22
982	1221	21
983	1222	19
984	1223	18
985	1224	17
986	1225	16
987	1226	14
988	1227	13
989	1228	12
990	1229	11
991	1230	9
992	1231	8
993	1232	7
994	1233	6
995	1235	4
996	1236	3
997	1237	2
998	1238	1
999	1239	0
